source	target	weight
0	2	0.5
0	4	0.5
0	9	0.5
0	20	0.5
0	31	0.5
0	36	0.5
0	43	0.5
0	83	0.5
0	104	0.5
0	138	0.5
0	210	0.5
0	249	0.5
0	321	0.5
0	362	0.5
0	363	0.5
1	2	0.5
1	3	0.5
1	5	0.5
1	6	0.5
1	7	0.5
1	8	0.5
1	17	0.5
1	18	0.5
1	23	0.5
1	24	0.5
1	29	0.5
1	33	0.5
1	44	0.5
1	48	0.5
1	52	0.5
1	57	0.5
1	66	0.5
1	79	0.5
1	151	0.5
1	183	0.5
1	196	0.5
1	213	0.5
1	219	0.5
1	227	0.5
1	293	0.5
1	295	0.5
1	315	0.5
1	344	0.5
1	352	0.5
2	3	0.5
2	4	0.5
2	5	0.5
2	6	0.5
2	7	0.5
2	10	0.5
2	11	0.5
2	12	0.5
2	15	0.5
2	19	0.5
2	21	0.5
2	24	0.5
2	30	0.5
2	32	0.5
2	37	0.5
2	42	0.5
2	47	0.5
2	51	0.5
2	53	0.5
2	55	0.5
2	62	0.5
2	68	0.5
2	87	0.5
2	91	0.5
2	99	0.5
2	134	0.5
2	136	0.5
2	140	0.5
2	144	0.5
2	145	0.5
2	150	0.5
2	158	0.5
2	159	0.5
2	172	0.5
2	182	0.5
2	183	0.5
2	185	0.5
2	192	0.5
2	198	0.5
2	200	0.5
2	202	0.5
2	207	0.5
2	209	0.5
2	230	0.5
2	233	0.5
2	263	0.5
2	269	0.5
2	280	0.5
2	294	0.5
2	310	0.5
2	313	0.5
2	322	0.5
2	325	0.5
2	345	0.5
2	356	0.5
2	361	0.5
2	366	0.5
2	391	0.5
2	396	0.5
2	397	0.5
3	10	0.5
3	25	0.5
3	26	0.5
3	62	0.5
3	148	0.5
3	236	0.5
3	334	0.5
3	377	0.5
3	385	0.5
3	392	0.5
4	19	0.5
4	20	0.5
4	28	0.5
4	43	0.5
4	54	0.5
4	55	0.5
4	61	0.5
4	65	0.5
4	70	0.5
4	90	0.5
4	98	0.5
4	100	0.5
4	149	0.5
4	152	0.5
4	170	0.5
4	184	0.5
4	209	0.5
4	260	0.5
4	264	0.5
4	284	0.5
4	287	0.5
4	357	0.5
4	364	0.5
5	22	0.5
5	60	0.5
5	118	0.5
5	154	0.5
5	309	0.5
6	103	0.5
7	8	0.5
7	9	0.5
7	12	0.5
7	13	0.5
7	14	0.5
7	15	0.5
7	16	0.5
7	29	0.5
7	32	0.5
7	40	0.5
7	44	0.5
7	45	0.5
7	56	0.5
7	57	0.5
7	73	0.5
7	86	0.5
7	91	0.5
7	97	0.5
7	119	0.5
7	126	0.5
7	131	0.5
7	176	0.5
7	179	0.5
7	221	0.5
7	224	0.5
7	246	0.5
7	250	0.5
7	257	0.5
7	316	0.5
7	380	0.5
8	11	0.5
8	27	0.5
8	28	0.5
8	34	0.5
8	40	0.5
8	45	0.5
8	48	0.5
8	53	0.5
8	56	0.5
8	61	0.5
8	92	0.5
8	111	0.5
8	114	0.5
8	115	0.5
8	125	0.5
8	137	0.5
8	139	0.5
8	146	0.5
8	156	0.5
8	191	0.5
8	211	0.5
8	226	0.5
8	241	0.5
8	261	0.5
8	327	0.5
8	336	0.5
8	346	0.5
8	356	0.5
8	378	0.5
9	38	0.5
9	68	0.5
9	76	0.5
9	79	0.5
9	135	0.5
9	141	0.5
9	170	0.5
9	176	0.5
9	225	0.5
9	241	0.5
9	250	0.5
9	289	0.5
9	321	0.5
10	13	0.5
10	89	0.5
10	92	0.5
10	111	0.5
10	160	0.5
10	163	0.5
10	222	0.5
10	302	0.5
11	18	0.5
11	52	0.5
11	67	0.5
11	97	0.5
11	106	0.5
11	108	0.5
11	109	0.5
11	168	0.5
11	202	0.5
11	262	0.5
11	278	0.5
12	21	0.5
12	25	0.5
12	34	0.5
12	49	0.5
12	50	0.5
12	87	0.5
12	106	0.5
12	174	0.5
12	186	0.5
12	208	0.5
12	253	0.5
12	314	0.5
13	14	0.5
13	16	0.5
13	17	0.5
13	26	0.5
13	39	0.5
13	58	0.5
13	59	0.5
13	122	0.5
13	231	0.5
13	238	0.5
13	244	0.5
13	248	0.5
13	270	0.5
13	281	0.5
13	285	0.5
13	295	0.5
13	300	0.5
13	312	0.5
13	333	0.5
13	354	0.5
14	36	0.5
14	126	0.5
14	169	0.5
14	192	0.5
15	279	0.5
15	365	0.5
16	80	0.5
17	22	0.5
17	27	0.5
17	35	0.5
17	49	0.5
17	59	0.5
17	66	0.5
17	72	0.5
17	83	0.5
17	95	0.5
17	96	0.5
17	101	0.5
17	105	0.5
17	113	0.5
17	121	0.5
17	123	0.5
17	156	0.5
17	173	0.5
17	193	0.5
17	269	0.5
17	276	0.5
17	311	0.5
18	23	0.5
18	30	0.5
18	46	0.5
18	108	0.5
18	117	0.5
18	125	0.5
18	155	0.5
18	169	0.5
18	175	0.5
18	253	0.5
18	327	0.5
19	39	0.5
19	162	0.5
19	389	0.5
20	31	0.5
20	64	0.5
20	80	0.5
20	89	0.5
20	135	0.5
20	189	0.5
20	212	0.5
20	217	0.5
20	315	0.5
20	349	0.5
21	42	0.5
21	70	0.5
21	107	0.5
21	231	0.5
21	232	0.5
22	88	0.5
22	140	0.5
22	147	0.5
22	180	0.5
22	224	0.5
22	232	0.5
22	237	0.5
22	267	0.5
22	275	0.5
22	306	0.5
22	344	0.5
23	46	0.5
23	54	0.5
23	90	0.5
23	128	0.5
23	167	0.5
24	35	0.5
24	37	0.5
24	64	0.5
24	71	0.5
24	81	0.5
24	93	0.5
24	129	0.5
24	138	0.5
24	221	0.5
24	240	0.5
24	304	0.5
24	317	0.5
24	331	0.5
24	351	0.5
24	375	0.5
25	33	0.5
25	41	0.5
25	58	0.5
25	60	0.5
25	77	0.5
26	78	0.5
26	110	0.5
26	187	0.5
26	347	0.5
27	95	0.5
27	98	0.5
27	99	0.5
27	188	0.5
27	234	0.5
27	263	0.5
27	272	0.5
27	296	0.5
27	323	0.5
28	50	0.5
28	65	0.5
28	133	0.5
28	143	0.5
28	144	0.5
28	265	0.5
28	282	0.5
28	337	0.5
28	360	0.5
29	93	0.5
29	218	0.5
30	51	0.5
30	75	0.5
30	149	0.5
30	153	0.5
30	223	0.5
30	252	0.5
30	266	0.5
30	326	0.5
31	69	0.5
31	112	0.5
31	210	0.5
31	254	0.5
31	292	0.5
31	301	0.5
31	319	0.5
31	383	0.5
32	41	0.5
32	267	0.5
32	319	0.5
32	329	0.5
34	38	0.5
34	150	0.5
34	177	0.5
35	127	0.5
35	167	0.5
35	180	0.5
35	204	0.5
36	347	0.5
37	190	0.5
38	86	0.5
38	130	0.5
38	157	0.5
38	299	0.5
38	329	0.5
38	360	0.5
38	391	0.5
38	399	0.5
39	123	0.5
39	306	0.5
39	370	0.5
41	96	0.5
42	82	0.5
42	85	0.5
42	187	0.5
43	158	0.5
43	278	0.5
44	47	0.5
45	342	0.5
46	88	0.5
46	116	0.5
46	143	0.5
46	179	0.5
46	191	0.5
46	195	0.5
46	318	0.5
46	335	0.5
46	350	0.5
46	374	0.5
47	132	0.5
47	220	0.5
47	260	0.5
48	63	0.5
48	69	0.5
48	71	0.5
48	104	0.5
48	244	0.5
48	252	0.5
48	374	0.5
49	127	0.5
49	305	0.5
49	309	0.5
49	355	0.5
51	73	0.5
51	74	0.5
51	124	0.5
51	151	0.5
51	246	0.5
51	379	0.5
52	219	0.5
53	94	0.5
53	236	0.5
53	291	0.5
54	74	0.5
54	116	0.5
54	130	0.5
54	165	0.5
54	168	0.5
55	128	0.5
55	129	0.5
55	166	0.5
55	178	0.5
55	216	0.5
55	300	0.5
55	381	0.5
56	63	0.5
56	78	0.5
56	105	0.5
56	131	0.5
56	136	0.5
56	200	0.5
56	259	0.5
56	298	0.5
56	364	0.5
57	75	0.5
57	134	0.5
57	233	0.5
57	371	0.5
58	124	0.5
58	141	0.5
59	67	0.5
59	72	0.5
59	77	0.5
59	102	0.5
59	137	0.5
59	145	0.5
59	146	0.5
59	153	0.5
59	157	0.5
59	226	0.5
59	279	0.5
60	308	0.5
60	359	0.5
61	81	0.5
62	84	0.5
63	103	0.5
63	245	0.5
63	251	0.5
63	390	0.5
65	100	0.5
65	396	0.5
68	197	0.5
68	198	0.5
68	352	0.5
71	110	0.5
71	155	0.5
71	194	0.5
71	218	0.5
71	273	0.5
72	243	0.5
72	271	0.5
73	76	0.5
73	82	0.5
73	276	0.5
74	163	0.5
75	320	0.5
75	362	0.5
76	120	0.5
76	235	0.5
77	102	0.5
78	339	0.5
78	368	0.5
78	372	0.5
79	133	0.5
79	196	0.5
79	283	0.5
80	85	0.5
80	188	0.5
80	193	0.5
80	259	0.5
80	343	0.5
80	378	0.5
81	184	0.5
81	262	0.5
81	304	0.5
81	330	0.5
82	84	0.5
82	112	0.5
82	194	0.5
82	215	0.5
83	121	0.5
83	205	0.5
84	277	0.5
85	392	0.5
85	395	0.5
86	288	0.5
86	337	0.5
87	325	0.5
88	115	0.5
88	203	0.5
89	308	0.5
90	117	0.5
90	346	0.5
91	94	0.5
91	160	0.5
91	288	0.5
93	171	0.5
93	289	0.5
93	298	0.5
94	109	0.5
95	118	0.5
95	161	0.5
95	270	0.5
95	292	0.5
95	317	0.5
95	328	0.5
97	107	0.5
97	119	0.5
97	147	0.5
98	101	0.5
98	332	0.5
101	367	0.5
102	174	0.5
103	114	0.5
104	113	0.5
104	182	0.5
104	225	0.5
104	228	0.5
104	311	0.5
104	363	0.5
106	274	0.5
106	399	0.5
108	152	0.5
108	159	0.5
108	208	0.5
108	397	0.5
109	291	0.5
109	338	0.5
110	283	0.5
110	381	0.5
112	122	0.5
112	281	0.5
113	120	0.5
113	161	0.5
113	213	0.5
113	214	0.5
113	296	0.5
113	320	0.5
114	139	0.5
114	162	0.5
114	178	0.5
114	185	0.5
114	243	0.5
114	294	0.5
114	358	0.5
115	197	0.5
115	229	0.5
119	132	0.5
119	216	0.5
119	245	0.5
119	348	0.5
119	395	0.5
120	333	0.5
121	142	0.5
121	148	0.5
121	228	0.5
121	230	0.5
121	387	0.5
123	334	0.5
124	212	0.5
126	266	0.5
128	201	0.5
129	166	0.5
129	190	0.5
129	255	0.5
129	274	0.5
129	303	0.5
129	368	0.5
133	173	0.5
133	175	0.5
133	264	0.5
134	282	0.5
135	297	0.5
136	247	0.5
137	342	0.5
140	154	0.5
140	301	0.5
140	376	0.5
141	142	0.5
141	186	0.5
141	189	0.5
141	318	0.5
141	382	0.5
141	398	0.5
142	164	0.5
142	172	0.5
142	211	0.5
142	275	0.5
142	284	0.5
142	330	0.5
142	383	0.5
142	393	0.5
143	195	0.5
144	268	0.5
144	341	0.5
146	384	0.5
147	239	0.5
148	223	0.5
148	354	0.5
151	164	0.5
151	379	0.5
152	239	0.5
152	394	0.5
154	171	0.5
154	199	0.5
154	261	0.5
155	340	0.5
160	181	0.5
160	206	0.5
160	316	0.5
160	351	0.5
161	203	0.5
161	285	0.5
161	324	0.5
164	165	0.5
164	204	0.5
166	201	0.5
168	237	0.5
168	290	0.5
169	181	0.5
170	257	0.5
170	303	0.5
170	349	0.5
171	199	0.5
171	206	0.5
171	234	0.5
171	286	0.5
171	290	0.5
171	380	0.5
174	388	0.5
175	215	0.5
175	343	0.5
176	177	0.5
178	207	0.5
178	214	0.5
178	353	0.5
180	332	0.5
180	348	0.5
180	389	0.5
181	227	0.5
182	254	0.5
182	256	0.5
182	350	0.5
183	247	0.5
183	273	0.5
184	277	0.5
185	287	0.5
185	313	0.5
187	251	0.5
187	297	0.5
189	271	0.5
190	220	0.5
192	299	0.5
193	323	0.5
194	205	0.5
194	242	0.5
194	302	0.5
194	370	0.5
196	217	0.5
196	394	0.5
197	229	0.5
197	256	0.5
199	324	0.5
200	222	0.5
201	375	0.5
202	280	0.5
205	248	0.5
209	255	0.5
209	357	0.5
211	235	0.5
215	328	0.5
215	335	0.5
215	365	0.5
217	240	0.5
217	265	0.5
220	238	0.5
223	242	0.5
226	393	0.5
228	249	0.5
228	331	0.5
229	326	0.5
231	376	0.5
236	377	0.5
237	371	0.5
238	305	0.5
241	310	0.5
244	286	0.5
244	361	0.5
246	369	0.5
247	314	0.5
248	268	0.5
249	339	0.5
251	367	0.5
252	345	0.5
253	258	0.5
254	258	0.5
254	338	0.5
256	340	0.5
257	272	0.5
258	372	0.5
258	386	0.5
267	388	0.5
269	366	0.5
271	353	0.5
273	398	0.5
281	312	0.5
284	293	0.5
284	307	0.5
285	385	0.5
295	307	0.5
297	369	0.5
304	322	0.5
304	355	0.5
312	341	0.5
314	373	0.5
332	336	0.5
333	384	0.5
334	373	0.5
342	358	0.5
345	382	0.5
348	359	0.5
353	390	0.5
369	387	0.5
377	386	0.5
